Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level
BELVIQ XR; Belviq,LORCASERIN HYDROCHLORIDE HEMIHYDRATE,LORCASERIN HYDROCHLORIDE HEMIHYDRATE,Mixed,wp,most,Regurgitant cardiac valvular disease/Heart Rate Decreases,severe
SPRYCEL,DASATINIB,dasatinib,Mixed,wp,most,cardiac ischemic events/QT Prolongation,severe
SOLOSEC,SECNIDAZOLE,SECNIDAZOLE,NA,CLINICAL PHARMACOLOGY,no,no clinically relevant increase in the QTc,
DURLAZA,ACETYLSALICYLIC ACID,Aspirin,NA,no,no,reduce the risk of death and myocardial infarction,
Diacomit,STIRIPENTOL,Stiripentol,NA,no,no,,
PROCYSBI,CYSTEAMINE BITARTRATE,Cysteamine bitartrate,NA,sp,ambiguous,Benign Intracranial Hypertension,
Auryxia,FERRIC CITRATE,TETRAFERRIC TRICITRATE DECAHYDRATE,NA,no,no,,
Synthroid,LEVOTHYROXINE SODIUM,LEVOTHYROXINE,Mixed,ar,less,myocardial infarction/ cardiac arrest,severe
TIBSOVO,IVOSIDENIB,ivosidenib,Arrhythmia,wp,most,QT (QTc) prolongation,severe
MYTESI,CROFELEMER,CROFELEMER,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Livtencity,MARIBAVIR,MARIBAVIR,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
ALECENSA,ALECTINIB HYDROCHLORIDE,ALECTINIB HYDROCHLORIDE,Arrhythmia,wp,less,bradycardia,mild
Xcopri; Xcopri Maintenance Pack; Xcopri Titration Pack,CENOBAMATE,CENOBAMATE,Arrhythmia,wp,most,QT Shortening,moderate
Cevimeline,CEVIMELINE,CEVIMELINE HYDROCHLORIDE,Mixed,wp,less,"tachycardia, bradycardia/ hypotension, hypertension",mild
Orgovyx,RELUGOLIX,RELUGOLIX,Arrhythmia,wp,most,prolong the QT/QTc interval,severe
Rayaldee,CALCIFEDIOL,CALCIFEDIOL,Heart Damage,ar,less,congestive heart failure,severe
Tetracycline Hydrochloride,TETRACYCLINE HYDROCHLORIDE,TETRACYCLINE HYDROCHLORIDE,NA,sp,ambiguous,Intracranial hypertension,
AUSTEDO; Austedo,DEUTETRABENAZINE,DEUTETRABENAZINE,Arrhythmia,wp,most, prolong the QT interval,severe
SIRTURO,BEDAQUILINE FUMARATE,Bedaquiline Fumarate,Arrhythmia,bw,most, QT Prolongation,moderate
Lorbrena,LORLATINIB,LORLATINIB,Mixed,wp,most,3 degree atrioventricular (AV) block/Hypertension ,severe
QELBREE,VILOXAZINE HYDROCHLORIDE,VILOXAZINE HYDROCHLORIDE,Mixed,wp,less,Increase in Heart Rate or Blood Pressure,mild
Trecator,ETHIONAMIDE,ETHIONAMIDE,NA,no,no,,
TAVNEOS,AVACOPAN,AVACOPAN,Heart Damage,ar,less,Hypertension,
XELJANZ; XELJANZ XR,TOFACITINIB,TOFACITINIB CITRATE,Heart Damage,bw,most,myocardial infarction,severe
Moxidectin,MOXIDECTIN,MOXIDECTIN,Heart Damage,wp,less,symptomatic orthostatic hypotension,mild
Desvenlafaxine,DESVENLAFAXINE,DESVENLAFAXINE,Heart Damage,wp,less, increases in blood pressure ,mild
NUPLAZID,PIMAVANSERIN TARTRATE,pimavanserin tartrate,Arrhythmia,wp,most,QT Interval Prolongation,moderate
Venclexta,VENETOCLAX,Venetoclax,NA,CLINICAL PHARMACOLOGY,no,no large effect on QTc interval ,
SLYND,DROSPIRENONE,DROSPIRENONE,NA,no,no,,
Linzess,LINACLOTIDE,LINACLOTIDE,NA,sp,ambiguous,hypotension and electrolyte abnormalities (hypokalemia and hyponatremia),mild
Myrbetriq,MIRABEGRON,MIRABEGRON,Heart Damage,wp,less,increase blood pressure,mild
STEGLATRO,ERTUGLIFLOZIN,ERTUGLIFLOZIN PIDOLATE,NA,CLINICAL PHARMACOLOGY,no,not prolong QTc,
RAZADYNE,GALANTAMINE HYDROBROMIDE,galantamine hydrobromide,Arrhythmia,wp,most,heart block,moderate
Daypro,OXAPROZIN,OXAPROZIN,Heart Damage,bw,most,myocardial infarction,severe
Stivarga,REGORAFENIB,REGORAFENIB MONOHYDRATE,Heart Damage,wp,most, myocardial ischemia and infarction,severe
ACCRUFER,FERRIC MALTOL,FERRIC MALTOL,NA,no,no,,
LAMPIT,NIFURTIMOX,NIFURTIMOX,NA,sp,ambiguous,Hypersensitivity reaction:hypotension,
PEXEVA,PAROXETINE MESYLATE,PAROXETINE MESYLATE,Mixed,ar,less,tachycardia/angina pectoris,mild
GEMTESA,VIBEGRON,vibegron,NA,CLINICAL PHARMACOLOGY,no,not prolong QTc,
ZYPITAMAG,PITAVASTATIN MAGNESIUM,PITAVASTATIN,NA,no,no,,
BREXAFEMME,IBREXAFUNGERP,IBREXAFUNGERP CITRATE,NA,CLINICAL PHARMACOLOGY,no,not prolong QTc,
HIPREX,METHENAMINE HIPPURATE,METHENAMINE HIPPURATE,NA,no,no,,
Tybost,COBICISTAT,COBICISTAT,NA,no,no,,
VERQUVO,VERICIGUAT,VERICIGUAT,Heart Damage,ar,less,Hypotension,mild
Rozlytrek,ENTRECTINIB,ENTRECTINIB,Mixed,wp,most,congestive heart failure /QT Interval Prolongation,severe
XIFAXAN,RIFAXIMIN,RIFAXIMIN,NA,no,no,,
PIZENSY,LACTITOL,LACTITOL,Heart Damage,ar,less,Increased blood pressure,mild
Avandia,ROSIGLITAZONE MALEATE,ROSIGLITAZONE MALEATE,Heart Damage,bw,most,congestive heart failure,severe
EMFLAZA,DEFLAZACORT,DEFLAZACORT,Heart Damage,wp,less,elevation of blood pressure,mild
Ketek,TELITHROMYCIN,telithromycin,Arrhythmia,wp,most,torsades de pointes,severe
Daurismo,GLASDEGIB,GLASDEGIB,Arrhythmia,wp,most,QTc prolongation,moderate
ORFADIN,NITISINONE,NITISINONE,NA,no,no,,
ZYKADIA,CERITINIB,CERITINIB,Arrhythmia,wp,most,QTc interval prolongation,moderate
Vumerity,DIROXIMEL FUMARATE,diroximel fumarate,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Multaq,DRONEDARONE,Dronedarone,Mixed,bw,most,Class IV heart failure/atrial fibrillatio n,severe
Cenestin,"SYNTHETIC CONJUGATED ESTROGENS, A","ESTROGENS, CONJUGATED SYNTHETIC A",Heart Damage,bw,most,myocardial infarction and strok,severe
Quazepam,QUAZEPAM,QUAZEPAM,NA,no,no,,
Northera,DROXIDOPA,DROXIDOPA,Heart Damage,bw,most,supine hypertension,mild
Boniva,IBANDRONATE SODIUM,IBANDRONATE SODIUM,Heart Damage,ar,less,Hypertension,mild
Livalo,PITAVASTATIN CALCIUM,pitavastatin calcium,NA,CLINICAL PHARMACOLOGY,no,not prolongation of the QTc interval ,
Olumiant,BARICITINIB,baricitinib,Heart Damage,bw,most, sudden cardiovascular death,severe
Zokinvy,LONAFARNIB,LONAFARNIB,Heart Damage,ar,less,Hypertension,mild
ZONTIVITY,VORAPAXAR,VORAPAXAR SULFATE,NA,CLINICAL PHARMACOLOGY,no,no effect on the QTc interval,
RYDAPT,RYDAPT,MIDOSTAURIN,Mixed,ar,less,Cardiac failure/QT prolongation,severe
CALQUENCE,ACALABRUTINIB,ACALABRUTINIB,Arrhythmia,wp,less,atrial fibrillation/atrial flutter,mild
citalopram,CITALOPRAM,CITALOPRAM HYDROBROMIDE,Arrhythmia,wp,most,QT-Prolongation and Torsade de Pointes,severe
Alunbrig,BRIGATINIB,brigatinib,Mixed,wp,less,Bradycardia/Hypertension,mild
FARYDAK,PANOBINOSTAT,PANOBINOSTAT LACTATE,Mixed,bw,most,cardiac ischemic events/severe arrhythmias,severe
ZEJULA,NIRAPARIB,niraparib,Heart Damage,wp,less,Hypertension,mild
Jardiance,EMPAGLIFLOZIN,empagliflozin,NA,no,no,,
Fycompa,PERAMPANEL,PERAMPANEL,NA,sp,ambiguous,Multiorgan hypersensitivity:myocarditis,
BRILINTA,TICAGRELOR,TICAGRELOR,Arrhythmia,wp,most, ventricular pauses,moderate
DOPTELET,AVATROMBOPAG MALEATE,AVATROMBOPAG MALEATE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Ibrance,PALBOCICLIB,PALBOCICLIB,NA,CLINICAL PHARMACOLOGY,no, no  effect on QTc ,
Gilenya,FINGOLIMOD HCL,FINGOLIMOD HYDROCHLORIDE,Mixed,wp,most, third-degree AV block/Increased Blood Pressure ,severe
TYKERB,LAPATINIB,LAPATINIB DITOSYLATE,Mixed,wp,most,decrease LVEF/QT Prolongation,moderate
Cholbam,CHOLIC ACID,CHOLIC ACID,NA,no,no,,
amiloride hydrocloride,AMILORIDE HYDROCLORIDE,AMILORIDE HYDROCHLORIDE,Mixed,ar,less,Angina pectoris/Arrhythmia,mild
VEMLIDY,TENOFOVIR ALAFENAMIDE,TENOFOVIR ALAFENAMIDE FUMARATE,NA,CLINICAL PHARMACOLOGY,no,not affect the QT/QTc interval,
UKONIQ,UMBRALISIB,umbralisib tosylate,NA,CLINICAL PHARMACOLOGY,no,,
TABLOID,THIOGUANINE,THIOGUANINE,NA,no,no,,
azithromycin,AZITHROMYCIN,azithromycin,Mixed,ar,less,Arrhythmias/chest pain,mild
Vraylar,CARIPRAZINE,CARIPRAZINE,Heart Damage,wp,less,hypotension ,mild
Tasigna,NILOTINIB,NILOTINIB,Arrhythmia,bw,most,prolongs the QT interval,moderate
Revlimid,LENALIDOMIDE,LENALIDOMIDE,Heart Damage,bw,most, myocardial infarction ,severe
Toviaz,FESOTERODINE FUMARATE,FESOTERODINE FUMARATE,Mixed,ar,less,angina/QT prolongation on ECG,severe
Lenvima,LENVATINIB,LENVATINIB,Mixed,wp,most,cardiomyopathy/QT Interval Prolongation,severe
PURINETHOL,MERCAPTOPURINE,MERCAPTOPURINE,NA,no,no,,
Aplenzin,BUPROPION HYDROBROMIDE,BUPROPION HYDROBROMIDE,Heart Damage,wp,less,hypertension,mild
Chemet,SUCCIMER,SUCCIMER,Arrhythmia,ar,less,Arrhythmia,mild
Aemcolo,RIFAMYCIN,Rifamycin,NA,no,no,,
COMETRIQ,CABOZANTINIB,cabozantinib s-malate,Heart Damage,wp,less,Hypertension ,mild
Stendra,AVANAFIL,AVANAFIL,Heart Damage,ar,less,angina,moderate
Cerdelga,ELIGLUSTAT,eliglustat,Arrhythmia,wp,most," increases in ECG intervals (PR, QTc, and QRS)",moderate
Krintafel,TAFENOQUINE SUCCINATE,TAFENOQUINE SUCCINATE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Kerendia,FINERENONE,FINERENONE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
ESBRIET,PIRFENIDONE,PIRFENIDONE,NA,CLINICAL PHARMACOLOGY,no,"no evidence that ESBRIET
prolonged the QTc interval",
LOKELMA,SODIUM ZIRCONIUM CYCLOSILICATE,SODIUM ZIRCONIUM CYCLOSILICATE,NA,no,no,,
Pomalyst,POMALIDOMIDE,POMALIDOMIDE,Heart Damage,bw,most,myocardial infarction,severe
Galafold,MIGALASTAT HYDROCHLORIDE,MIGALASTAT HYDROCHLORIDE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,
DYANAVEL XR; Dyanavel XR,AMPHETAMINE,AMPHETAMINE,Mixed,wp,most,myocardial infarction/Heart Rate Increases,severe
Tasmar,TOLCAPONE,Tolcapone,Mixed,ar,less,heart failure/tachycardia,severe
RETEVMO,SELPERCATINIB,selpercatinib,Mixed,wp,most,QT Interval Prolongation/Hypertension,moderate
XTAMPZA ER,OXYCODONE,OXYCODONE,Heart Damage,wp,less,hypotension ,mild
INLYTA,AXITINIB,AXITINIB,Heart Damage,wp,most,cardiac failure ,severe
Thiola EC,TIOPRONIN,TIOPRONIN,Heart Damage,ar,less,congestive heart failure,severe
SCEMBLIX,ASCIMINIB,ASCIMINIB HYDROCHLORIDE,Mixed,wp,most,"cardiac failure/QTc prolongation,",severe
Mekinist,TRAMETINIB,TRAMETINIB DIMETHYL SULFOXIDE,Heart Damage,wp,most, cardiac failure,severe
FIBRICOR,FENOFIBRIC ACID,Fenofibric Acid,NA,no,no,,
KISQALI,RIBOCICLIB,RIBOCICLIB SUCCINATE,Arrhythmia,wp,most, prolong the QT interval,severe
GOCOVRI,AMANTADINE,AMANTADINE,Heart Damage,wp,less,hypotension,mild
Aptiom,ESLICARBAZEPINE ACETATE,ESLICARBAZEPINE ACETATE,NA,sp,ambiguous,Multiorgan hypersensitivity:myocarditis,
Tafinlar,DABRAFENIB,DABRAFENIB MESYLATE,Heart Damage,wp,most,cardiomyopathy,severe
Osphena,OSPEMIFENE,OSPEMIFENE,Heart Damage,wp,most, myocardial infarction,severe
Enablex,DARIFENACIN,DARIFENACIN,Arrhythmia,ar,less,palpitations,mild
Trimethoprim,TRIMETHOPRIM,TRIMETHOPRIM,NA,no,no,,
BRUKINSA,ZANUBRUTINIB,ZANUBRUTINIB,Arrhythmia,wp,less,Atrial fibrillation,mild
UBRELVY,UBROGEPANT,UBROGEPANT,NA,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,
TRUSELTIQ,INFIGRATINIB,INFIGRATINIB,NA,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,
Nexavar,SORAFENIB,SORAFENIB,Mixed,wp,most,cardiac ischemia/infarction/QT Prolongation,severe
QINLOCK,RIPRETINIB,Ripretinib,Heart Damage,wp,most,cardiac failure,severe
Primsol,TRIMETHOPRIM HYDROCHLORIDE,TRIMETHOPRIM HYDROCHLORIDE,NA,no,no,,
Nerlynx,NERATINIB,NERATINIB MALEATE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,
XARELTO; Xarelto,RIVAROXABAN,rivaroxaban,NA,no,no,,
Afinitor; Afinitor Disperz,EVEROLIMUS,EVEROLIMUS,Mixed,ar,less,congestive cardiac failure /Tachycardia ,severe
Viramune,NEVIRAPINE,NEVIRAPINE,NA,no,no,,
VIRACEPT,NELFINAVIR MESYLATE,NELFINAVIR MESYLATE,Arrhythmia,ar,less,torsades de pointes,moderate
Iclusig,PONATINIB HYDROCHLORIDE,ponatinib hydrochloride,Mixed,bw,most,fatal myocardial infarction/cardiac arrhythmias,severe
Xenical,ORLISTAT,ORLISTAT,NA,no,no,,
HYCAMTIN,TOPOTECAN,TOPOTECAN HYDROCHLORIDE,NA,no,no,,
Xtandi,ENZALUTAMIDE,ENZALUTAMIDE,Heart Damage,wp,most,ischemic heart disease,severe
SUNOSI,SOLRIAMFETOL,SOLRIAMFETOL,Mixed,wp,less,Blood Pressure Heart Rate Increases,mild
ELMIRON,PENTOSAN POLYSULFATE SODIUM,PENTOSAN POLYSULFATE SODIUM,NA,no,no,,
PIFELTRO,DORAVIRINE,doravirine,NA,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,
Plaquenil,HYDROXYCHLOROQUINE SULFATE,HYDROXYCHLOROQUINE SULFATE,Mixed,wp,most,Cardiomyopathy/QT prolongation,severe
BRAFTOVI,ENCORAFENIB,ENCORAFENIB,Arrhythmia,wp,most,QTc interval prolongation ,moderate
ENJUVIA,"SYNTHETIC CONJUGATED ESTROGENS, B","ESTROGENS, CONJUGATED SYNTHETIC B",Heart Damage,bw,most,myocardial infarction,severe
Firdapse,AMIFAMPRIDINE PHOSPHATE,amifampridine phosphate,Heart Damage,ar,less,Hypertension,mild
Xermelo,TELOTRISTAT ETHYL,telotristat ethyl,NA,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,
FOTIVDA,TIVOZANIB,tivozanib hydrochloride,Heart Damage,wp,most,fatal Cardiac Failure,severe
BALVERSA,ERDAFITINIB,Erdafitinib,Heart Damage,ar,less,acute myocardial infarction.,severe
Orladeyo,BEROTRALSTAT HYDROCHLORIDE,Berotralstat hydrochloride,Arrhythmia,wp,less,QT Prolongation with Higher-Than-Recommended Dosages,moderate
FARXIGA,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,NA,CLINICAL PHARMACOLOGY,no,not prolong the QT interval,
Velphoro,SUCROFERRIC OXYHYDROXIDE,FERRIC OXYHYDROXIDE,NA,no,no,,
Macrilen,MACIMORELIN ACETATE,MACIMORELIN,Arrhythmia,wp,most,QTc interval prolongation ,moderate
BOSULIF,BOSUTINIB MONOHYDRATE,BOSUTINIB MONOHYDRATE,Heart Damage,wp,most,cardiac failure,severe
Rezurock,BELUMOSUDIL,BELUMOSUDIL,Heart Damage,ar,less,hypertension,mild
JAKAFI,RUXOLITINIB,RUXOLITINIB,Heart Damage,wp,most,"cardiovascular death/myocardial infarction,",severe
VERMOX,MEBENDAZOLE,mebendazole,NA,no,no,,
PARNATE,TRANYLCYPROMINE SULFATE,TRANYLCYPROMINE SULFATE,Heart Damage,wp,less,Hypertension,mild
WELIREG,BELZUTIFAN,BELZUTIFAN,Heart Damage,ar,less,Hypertension,mild
Trulance Immediate release,PLECANATIDE,Plecanatide,NA,no,no,,
Xyrem,SODIUM OXYBATE,SODIUM OXYBATE,NA,no,no,,
Qulipta,ATOGEPANT,ATOGEPANT,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Gleostine,LOMUSTINE,LOMUSTINE,NA,no,no,,
Incruse Ellipta,UMECLIDINIUM,UMECLIDINIUM BROMIDE,Arrhythmia,ar,less,supraventricular tachycardia,moderate
Cefditoren Pivoxil,CEFDITOREN PIVOXIL,CEFDITOREN PIVOXIL,NA,no,no,,
Lysodren,MITOTANE,mitotane,NA,no,no,,
DIURIL,CHLOROTHIAZIDE,CHLOROTHIAZIDE,Heart Damage,ar,less,Hypotension,mild
CRIXIVAN,INDINAVIR SULFATE,INDINAVIR SULFATE,Heart Damage,ar,less,myocardial infarction,severe
EVRYSDI,RISDIPLAM,RISDIPLAM,NA,no,no,,
Reyvow,LASMIDITAN,lasmiditan,Mixed,ar,less,palpitations/increase blood pressure,mild
Horizant,GABAPENTIN ENACARBIL,gabapentin enacarbil,NA,CLINICAL PHARMACOLOGY,no, not prolong QT interval,
Emcyt,ESTRAMUSTINE PHOSPHATE SODIUM,ESTRAMUSTINE PHOSPHATE SODIUM,Heart Damage,wp,most,myocardial infarction,severe
Nucynta ER,TAPENTADOL HYDROCHLORIDE,TAPENTADOL HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild
CAPLYTA,LUMATEPERONE,LUMATEPERONE,Heart Damage,wp,less,hypotension,mild
KOSELUGO,SELUMETINIB,SELUMETINIB,Heart Damage,wp,most,Cardiomyopathy,severe
TAZVERIK,TAZEMETOSTAT,tazemetostat hydrobromide,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Mulpleta,LUSUTROMBOPAG,LUSUTROMBOPAG,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Vascepa,ICOSAPENT ETHYL,ICOSAPENT ETHYL,Arrhythmia,wp,less,atrial fibrillation/atrial flutter,mild
Cotellic,COBIMETINIB,COBIMETINIB FUMARATE,Heart Damage,wp,most,Cardiomyopathy,severe
MOVANTIK,NALOXEGOL OXALATE,NALOXEGOL OXALATE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Cedax,CEFTIBUTEN DIHYDRATE,Ceftibuten dihydrate,NA,no,no,,
COPIKTRA,DUVELISIB,DUVELISIB,NA,CLINICAL PHARMACOLOGY,no,QTc interval were not observed,
Verzenio,ABEMACICLIB,abemaciclib,NA,sp,ambiguous,cardiac failure(drug Combination ),severe
Lithium,LITHIUM,Lithium Citrate,Mixed,wp,most,myocarditis/prolonged QT interval,severe
INGREZZA,VALBENAZINE,VALBENAZINE TOSYLATE,Arrhythmia,wp,most,prolong the QT interval,severe
Xospata,GILTERITINIB,GILTERITINIB FUMARATE,Arrhythmia,wp,most,prolong the QT interval,severe
PONVORY,PONESIMOD,Ponesimod,Mixed,wp,less,Atrioventricular Conduction Delays/Increased Blood Pressure,mild
Orilissa,ELAGOLIX,ELAGOLIX SODIUM,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
ZOLINZA,VORINOSTAT,VORINOSTAT,Heart Damage,ar,less,myocardial infarction,severe
Varubi,ROLAPITANT,ROLAPITANT HYDROCHLORIDE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
IMPAVIDO,MILTEFOSINE,MILTEFOSINE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Xalkori,CRIZOTINIB,CRIZOTINIB,Arrhythmia,wp,most,QT Interval Prolongation,moderate
Ayvakit,AVAPRITINIB,avapritinib,Heart Damage,ar,less,cardiac failure,severe
Vizimpro,DACOMITINIB,DACOMITINIB,NA,CLINICAL PHARMACOLOGY,no, no large effect on QTc,
IBSRELA,TENAPANOR HYDROCHLORIDE,TENAPANOR HYDROCHLORIDE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Xofluza,BALOXAVIR MARBOXIL,BALOXAVIR MARBOXIL,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Thalomid,THALIDOMIDE,THALIDOMIDE,Mixed,wp,most,myocardial infarction/Bradycardia,severe
MOTEGRITY,PRUCALOPRIDE,PRUCALOPRIDE SUCCINATE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
PROMACTA,ELTROMBOPAG OLAMINE,ELTROMBOPAG OLAMINE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
ERLEADA,APALUTAMIDE,Apalutamide,Heart Damage,wp,most,"ischemic cardiovascular
events",severe
Lithostat,ACETOHYDROXAMIC ACID,ACETOHYDROXAMIC ACID,Arrhythmia,ar,less,Palpitations,mild
Rinvoq,UPADACITINIB,upadacitinib,Heart Damage,bw,most,sudden cardiovascular death,severe
Sular,NISOLDIPINE,NISOLDIPINE,Mixed,ar,less,"congestive heart failure/supraventricular
tachycardia",severe
Mavenclad,CLADRIBINE,Cladribine,Heart Damage,wp,most,"life-threatening acute
 cardiac failure ",severe
EGATEN,TRICLABENDAZOLE,TRICLABENDAZOLE,Arrhythmia,wp,most,prolongation of the mean QTc interval,severe
Peganone,ETHOTOIN,ETHOTOIN,NA,no,no,,
NINLARO,IXAZOMIB,ixazomib citrate,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Viberzi,ELUXADOLINE,ELUXADOLINE,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
BAFIERTAM,MONOMETHYL FUMARATE,monomethyl fumarate,NA,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,
Zelnorm,TEGASEROD,tegaserod,NA,sp,ambiguous,patients has  increased risk of developing an adverse cardiovascular event,
ISENTRESS,ISENTRESS,RALTEGRAVIR POTASSIUM,NA,CLINICAL PHARMACOLOGY,no, not prolong QT interval,
Ofev,NINTEDANIB,NINTEDANIB ESYLATE,Heart Damage,wp,most,Myocardial infarction ,severe
Prilosec,OMEPRAZOLE MAGNESIUM,OMEPRAZOLE MAGNESIUM,Mixed,ar,less,Chest pain or angina/ tachycardia,moderate
Gilotrif,AFATINIB,AFATINIB,NA,CLINICAL PHARMACOLOGY,no,No large changes in the mean QTc interval,
Rubraca,RUCAPARIB,rucaparib camsylate,Mixed,ar,less,ischemic cardiovascular events,severe
OXBRYTA,VOXELOTOR,Voxelotor,NA,CLINICAL PHARMACOLOGY,no, not prolong QT interval,
ELIQUIS,APIXABAN,APIXABAN,Heart Damage,ar,less,hypotension,mild
Tradjenta,LINAGLIPTIN,LINAGLIPTIN,Heart Damage,wp,most,heart failure,severe
ZEPOSIA; ZEPOSIA 7-Day Starter Pack; ZEPOSIA Starter Kit,OZANIMOD HYDROCHLORIDE,OZANIMOD HYDROCHLORIDE,Mixed,wp,less,Atrioventricular Conduction Delays/Increased Blood Pressure,mild
Cystadane,BETAINE,BETAINE,NA,no,no,,
RIDAURA,AURANOFIN,AURANOFIN,NA,no,no,,
TAGRISSO,OSIMERTINIB,OSIMERTINIB,Mixed,wp,most,cardiomyopathy/QTc Interval Prolongation,severe
EXKIVITY,MOBOCERTINIB,Mobocertinib,Mixed,bw,most,life-threatening heart rate-corrected QT (QTc) prolongation/cardiomyopathy,severe
Darvon-N,PROPOXYPHENE NAPSYLATE,propoxyphene napsylate,Heart Damage,wp,less,hypotension,mild
ADDYI,FLIBANSERIN,Flibanserin,Heart Damage,wp,less,hypotension,mild
Fetzima,LEVOMILNACIPRAN HYDROCHLORIDE,LEVOMILNACIPRAN HYDROCHLORIDE; levomilnacipran hydrochloride,Mixed,wp,less,Increased heart rate/Elevated Blood Pressure,mild
Seysara,SARECYCLINE HYDROCHLORIDE,SARECYCLINE HYDROCHLORIDE,NA,sp,ambiguous,Intracranial hypertension,
Marplan,ISOCARBOXAZID,ISOCARBOXAZID,Heart Damage,wp,less,Hypotension,mild
PREZISTA,DARUNAVIR,darunavir ethanolate,NA,CLINICAL PHARMACOLOGY,no, not affect the QT/QTc interval,
SAVAYSA,EDOXABAN TOSYLATE,EDOXABAN TOSYLATE,NA,CLINICAL PHARMACOLOGY,no, not affect the QT/QTc interval,
XPOVIO,SELINEXOR,selinexor,Heart Damage,ar,less,cardiac failure,severe
Fexinidazole,FEXINIDAZOLE,FEXINIDAZOLE,Arrhythmia,wp,most,prolong the QT interval,severe
Pretomanid,PRETOMANID,Pretomanid,NA,sp,ambiguous,QT prolongation  with the combination,
Rukobia,FOSTEMSAVIR TROMETHAMINE,FOSTEMSAVIR TROMETHAMINE,Arrhythmia,ar,less,QTc Prolongation with Higher than Recommended Dosages,moderate
XURIDEN,URIDINE TRIACETATE,uridine triacetate,NA,no,no,,
BYLVAY,ODEVIXIBAT,odevixibat,NA,no,no,,
LUPKYNIS,VOCLOSPORIN,VOCLOSPORIN,Mixed,wp,most,prolongs the QTc interval/Hypertension,moderate
DOJOLVI,TRIHEPTANOIN,TRIHEPTANOIN,NA,no,no,,
Cesamet,NABILONE,NABILONE,Mixed,wp,less,tachycardia/hypotension,mild
Rexulti,BREXPIPRAZOLE,brexpiprazole,Heart Damage,wp,less,Hypotension,mild
NOURIANZ,ISTRADEFYLLINE,istradefylline,NA,CLINICAL PHARMACOLOGY,no, not affect the QT/QTc interval,
FINTEPLA,FENFLURAMINE,FENFLURAMINE,Heart Damage,bw,most,valvular heart disease,severe
Recorlev,LEVOKETOCONAZOLE,LEVOKETOCONAZOLE,Arrhythmia,bw,most,life-threatening ventricular dysrhythmias ,severe
LUMAKRAS,SOTORASIB,SOTORASIB,Mixed,ar,less,cardiac arrest /cardiac failure,severe
Nardil,PHENELZINE SULFATE,PHENELZINE SULFATE,Heart Damage,wp,less,changes in blood pressure,mild
Arakoda,TAFENOQUINE,TAFENOQUINE,NA,CLINICAL PHARMACOLOGY,ambiguous, mean increase in the QTcF interval less than 20 msec.,
ERIVEDGE,VISMODEGIB,VISMODEGIB,NA,CLINICAL PHARMACOLOGY,no, not prolong QT interval,
ENTERO Vu 24%,BARIUM SULFATE,BARIUM SULFATE,NA,sp,ambiguous,Hypersensitivity Reactions:hypotension ,mild
TUKYSA,TUCATINIB,Tucatinib,NA,CLINICAL PHARMACOLOGY,ambiguous,"No large mean increase in QTc (i.e., > 20 ms)",
EDURANT,RILPIVIRINE HYDROCHLORIDE,rilpivirine hydrochloride,NA,CLINICAL PHARMACOLOGY,no,QTcF interval below the threshold of clinical concern,
Cotempla XR-ODT,METHYLPHENIDATE,METHYLPHENIDATE,Mixed,wp,most,Sudden death/Heart rate increases,severe
ZELBORAF,VEMURAFENIB,VEMURAFENIB,Arrhythmia,wp,most,QT prolongation,moderate
Kalydeco,IVACAFTOR,ivacaftor,NA,no,no,,
Imbruvica,IBRUTINIB,IBRUTINIB,Mixed,wp,most,Cardiac Failure/Cardiac Arrhythmias,severe
