Trade Name,Generic/Proper Name(s),Active Ingredient(s),DICT _ Concern,INPUT,SMILES
verapamil hydrochloride,verapamil hydrochloride,verapamil hydrochloride,most,verapamil hydrochloride,Cl.COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC
zileuton,zileuton,zileuton,no,zileuton,CC(N(O)C(N)=O)C1=CC2=C(S1)C=CC=C2
propantheline bromide,propantheline bromide,propantheline bromide,less,propantheline bromide,[Br-].CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C
sertraline,sertraline,sertraline hydrochloride,most,sertraline hydrochloride,Cl.CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=C1C=CC=C2
bisoprolol fumarate,bisoprolol fumarate,bisoprolol fumarate,most,bisoprolol fumarate,OC(=O)\C=C\C(O)=O.CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1.CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1
vardenafil hydrochloride,vardenafil hydrochloride,vardenafil,most,vardenafil,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1
aminocaproic acid,aminocaproic acid,aminocaproic acid,less,aminocaproic acid,NCCCCCC(O)=O
telmisartan,telmisartan,telmisartan,less,telmisartan,CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O
lamotrigine,lamotrigine,lamotrigine,less,lamotrigine,NC1=NC(N)=C(N=N1)C1=CC=CC(Cl)=C1Cl
fenofibrate,fenofibrate,fenofibrate,no,fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1
montelukast sodium,montelukast sodium,montelukast sodium,less,montelukast sodium,[Na+].CC(C)(O)C1=C(CC[C@@H](SCC2(CC([O-])=O)CC2)C2=CC(\C=C\C3=NC4=C(C=CC(Cl)=C4)C=C3)=CC=C2)C=CC=C1
metolazone,metolazone,metolazone,less,metolazone,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O
disulfiram,disulfiram,disulfiram,no,disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC
megestrol acetate,megestrol acetate,megestrol acetate,less,megestrol acetate,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C
metoprolol succinate,metoprolol succinate,metoprolol succinate,most,metoprolol succinate,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
acarbose,acarbose,acarbose,no,acarbose,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
clindamycin hydrochloride,clindamycin hydrochloride,clindamycin hydrochloride,no,clindamycin hydrochloride,Cl.CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O
jencycla,norethindrone,norethindrone,no,norethindrone,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]
glyburide,glyburide,glyburide,ambiguous,glyburide,COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
estropipate,estropipate,estropipate,most,estropipate,C1CNCCN1.C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O
levocetirizine dihydrochloride,levocetirizine dihydrochloride,levocetirizine dihydrochloride,less,levocetirizine dihydrochloride,Cl.Cl.OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1
colchicine,colchicine,colchicine,no,colchicine,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O
pentoxifylline,pentoxifylline,pentoxifylline,less,pentoxifylline,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C
zaleplon,zaleplon,zaleplon,less,zaleplon,CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N
methscopolamine bromide,methscopolamine bromide,methscopolamine bromide,less,methscopolamine bromide,[Br-].[H][C@@]12O[C@]1([H])[C@H]1C[C@H](C[C@@H]2[N+]1(C)C)OC(=O)[C@H](CO)C1=CC=CC=C1
ketoconazole,ketoconazole,ketoconazole,most,ketoconazole,CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1
candesartan cilexetil,candesartan cilexetil,candesartan cilexetil,less,candesartan cilexetil,CCOC1=NC2=CC=CC(C(=O)OC(C)OC(=O)OC3CCCCC3)=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1
esomeprazole magnesium,esomeprazole magnesium,esomeprazole magnesium,less,esomeprazole magnesium,[Mg++].COC1=CC=C2N=C([N-]C2=C1)[S@@](=O)CC1=C(C)C(OC)=C(C)C=N1.COC1=CC=C2N=C([N-]C2=C1)[S@](=O)CC1=C(C)C(OC)=C(C)C=N1
quinidine gluconate,quinidine gluconate,quinidine gluconate,less,quinidine gluconate,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O.[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=CC=NC2=C1C=C(OC)C=C2
amoxapine,amoxapine,amoxapine,less,amoxapine,ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1
promethazine hydrochloride,promethazine hydrochloride,promethazine hydrochloride,less,promethazine hydrochloride,Cl.CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C
labetalol hydrochloride,labetalol hydrochloride,labetalol,most,labetalol,CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O
dofetilide,dofetilide,dofetilide,most,dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
,dofetilide,dofetilide,most,dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
modafinil,modafinil,modafinil,ambiguous,modafinil,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
famciclovir,famciclovir,famciclovir,less,famciclovir,CC(=O)OCC(CCN1C=NC2=C1N=C(N)N=C2)COC(C)=O
albuterol,albuterol,albuterol,most,albuterol,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1
ethambutol hydrochloride,ethambutol hydrochloride,ethambutol hydrochloride,ambiguous,ethambutol hydrochloride,Cl.Cl.CC[C@@H](CO)NCCN[C@@H](CC)CO
gemfibrozil,gemfibrozil,gemfibrozil,less,gemfibrozil,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
melphalan,"melphalan usp, 2 mg",melphalan,less,melphalan,N[C@@H](CC1=CC=C(C=C1)N(CCCl)CCCl)C(O)=O
diazepam,diazepam,diazepam,less,diazepam,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1
bosentan,bosentan,bosentan,less,bosentan,COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1
moexipril hydrochloride,moexipril hydrochloride,moexipril hydrochloride,less,moexipril hydrochloride,Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=C(C[C@H]1C(O)=O)C=C(OC)C(OC)=C2
chlorthalidone,chlorthalidone,chlorthalidone,less,chlorthalidone,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12
fluvastatin,fluvastatin,fluvastatin sodium,less,fluvastatin sodium,[Na+].CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC([O-])=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1
probenecid,probenecid,probenecid,no,probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O
guanfacine,guanfacine,guanfacine hydrochloride,less,guanfacine hydrochloride,Cl.NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl
almotriptan,almotriptan,almotriptan malate,most,almotriptan malate,OC(CC(O)=O)C(O)=O.CN(C)CCC1=CNC2=CC=C(CS(=O)(=O)N3CCCC3)C=C12
nizatidine,nizatidine,nizatidine,less,nizatidine,CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O
tenofovir disoproxil fumarate,tenofovir disoproxil fumarate,tenofovir disoproxil fumarate,no,tenofovir disoproxil fumarate,OC(=O)\C=C\C(O)=O.CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C
cartia xt,diltiazem hydrochloride,diltiazem hydrochloride,most,diltiazem hydrochloride,Cl.COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O
felodipine,felodipine,felodipine,less,felodipine,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC
risedronate sodium,risedronate sodium,risedronate sodium,less,risedronate sodium,[Na+].[Na+].OC(CC1=CC=CN=C1)(P(O)([O-])=O)P(O)([O-])=O
cephalexin,cephalexin,cephalexin,no,cephalexin,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O)C(O)=O
diazoxide,diazoxide,diazoxide,less,diazoxide,CC1=NC2=CC=C(Cl)C=C2S(=O)(=O)N1
ritonavir,ritonavir,ritonavir,most,ritonavir,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1
acetazolamide,acetazolamide,acetazolamide,no,acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O
lorazepam,lorazepam,lorazepam,ambiguous,lorazepam,OC1N=C(C2=CC=CC=C2Cl)C2=CC(Cl)=CC=C2NC1=O
lurasidone hydrochloride,lurasidone hydrochloride,lurasidone hydrochloride,less,lurasidone hydrochloride,Cl.[H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC3=CC=CC=C13)C2=O
dutasteride,dutasteride,dutasteride,less,dutasteride,[H][C@@]12CC[C@H](C(=O)NC3=CC(=CC=C3C(F)(F)F)C(F)(F)F)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C
exemestane,exemestane,exemestane,less,exemestane,C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O
fosinopril sodium,fosinopirl sodium; fosinopril sodium,fosinopril sodium,less,fosinopril sodium,[Na+].CCC(=O)OC(OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C([O-])=O)C1CCCCC1)C(C)C
sodium phenylbutyrate,sodium phenylbutyrate,sodium phenylbutyrate,less,sodium phenylbutyrate,[Na+].[O-]C(=O)CCCC1=CC=CC=C1
hydrocodone bitartrate,hydrocodone bitartrate,hydrocodone bitartrate,most,hydrocodone bitartrate,O[C@H]([C@@H](O)C(O)=O)C(O)=O.[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])CCC2=O
cilostazol,cilostazol,cilostazol,most,cilostazol,O=C1CCC2=CC(OCCCCC3=NN=NN3C3CCCCC3)=CC=C2N1
olanzapine,olanzapine,olanzapine,less,olanzapine,CN1CCN(CC1)C1=NC2=C(NC3=C1C=C(C)S3)C=CC=C2
disopyramide phosphate,disopyramide phosphate,disopyramide phosphate,most,disopyramide phosphate,OP(O)(O)=O.CC(C)N(CCC(C(O)=N)(C1=CC=CC=C1)C1=CC=CC=N1)C(C)C
danazol,danazol,danazol,less,danazol,C[C@]12CC[C@H]3[C@@H](CCC4=CC5=C(C[C@]34C)C=NO5)[C@@H]1CC[C@@]2(O)C#C
benazepril hydrochloride,benazepril hydrochloride,benazepril hydrochloride,less,benazepril hydrochloride,Cl.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O
doxycycline,doxycycline,doxycycline,ambiguous,doxycycline,[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
ergomar sublingual,ergotamine tartrate,ergotamine tartrate,less,ergotamine tartrate,O[C@H]([C@@H](O)C(O)=O)C(O)=O.CN1C[C@@H](C=C2[C@H]1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O.CN1C[C@@H](C=C2[C@H]1CC1=CNC3=CC=CC2=C13)C(=O)N[C@]1(C)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](CC3=CC=CC=C3)N2C1=O
azathioprine,azathioprine,azathioprine,no,azathioprine,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,ambiguous,chlorhexidine gluconate,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O.ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
carbidopa,carbidopa,carbidopa,less,carbidopa,C[C@@](CC1=CC=C(O)C(O)=C1)(NN)C(O)=O
montelukast sodium,montelukast sodium,montelukast,less,montelukast,CC(C)(O)C1=C(CC[C@@H](SCC2(CC(O)=O)CC2)C2=CC(\C=C\C3=NC4=C(C=CC(Cl)=C4)C=C3)=CC=C2)C=CC=C1
chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,chlordiazepoxide hydrochloride,no,chlordiazepoxide hydrochloride,Cl.CNC1=NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=N(=O)C1
maraviroc,maraviroc,maraviroc,most,maraviroc,CC(C)C1=NN=C(C)N1[C@@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1=CC=CC=C1
imipramine pamoate,imipramine pamoate,imipramine pamoate,less,imipramine pamoate,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12.CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12.OC(=O)C1=CC2=CC=CC=C2C(CC2=C(O)C(=CC3=CC=CC=C23)C(O)=O)=C1O
flecainide acetate,flecainide acetate,flecainide acetate,most,flecainide acetate,CC(O)=O.FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
amantadine hcl,amantadine hydrochloride,amantadine hydrochloride,less,amantadine hydrochloride,Cl.NC12CC3CC(CC(C3)C1)C2
ethacrynic acid,ethacrynic acid,ethacrynic acid,less,ethacrynic acid,CCC(=C)C(=O)C1=CC=C(OCC(O)=O)C(Cl)=C1Cl
eletriptan hydrobromide,eletriptan hydrobromide,eletriptan hydrobromide,most,eletriptan hydrobromide,Br.CN1CCC[C@@H]1CC1=CNC2=CC=C(CCS(=O)(=O)C3=CC=CC=C3)C=C12
hydroxyzine pamoate,hydroxyzine pamoate,hydroxyzine pamoate,most,hydroxyzine pamoate,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1.OC(=O)C1=CC2=CC=CC=C2C(CC2=C(O)C(=CC3=C2C=CC=C3)C(O)=O)=C1O
erythrocin stearate,erythromycin stearate,erythromycin stearate,most,erythromycin stearate,CCCCCCCCCCCCCCCCCC([O-])=O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
isosorbide mononitrate,isosorbide mononitrate,isosorbide mononitrate,less,isosorbide mononitrate,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O
nabumetone,nabumetone,nabumetone,most,nabumetone,COC1=CC2=CC=C(CCC(C)=O)C=C2C=C1
sunitinib malate,sunitinib malate,sunitinib malate,most,sunitinib malate,O[C@@H](CC(O)=O)C(O)=O.CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=CC=C(F)C=C23)=C1C
cabergoline,cabergoline,cabergoline,most,cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(CC=C)C1
rasagiline,rasagiline,rasagiline mesylate,less,rasagiline mesylate,CS(O)(=O)=O.C#CCN[C@@H]1CCC2=CC=CC=C12
acitretin,acitretin,acitretin,less,acitretin,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1
oxybutynin chloride,oxybutynin chloride,oxybutynin chloride,most,oxybutynin chloride,Cl.CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
risperidone,risperidone,risperidone,less,risperidone,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
diclofenac potassium,diclofenac potassium,diclofenac potassium,most,diclofenac potassium,[K+].[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
ramipril,ramipril,ramipril,less,ramipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O
pryidostigmine bromide,pyridostigmine bromide,pyridostigmine bromide,no,pyridostigmine bromide,[Br-].CN(C)C(=O)OC1=CC=C[N+](C)=C1
solifenacin succinate,solifenacin succiate; solifenacin succinate,solifenacin succinate,less,solifenacin succinate,OC(=O)CCC(O)=O.[H][C@@]1(CN2CCC1CC2)OC(=O)N1CCC2=CC=CC=C2[C@]1([H])C1=CC=CC=C1
omeprazole,omeprazole,omeprazole,less,omeprazole,COC1=CC2=C(NC(=N2)S(=O)CC2=C(C)C(OC)=C(C)C=N2)C=C1
quinine sulfate,quinine sulfate,quinine sulfate,most,quinine sulfate,OS(O)(=O)=O.[H][C@@](O)(C1=C2C=C(OC)C=CC2=NC=C1)[C@]1([H])CC2([H])CCN1C[C@]2([H])C=C
didanosine,didanosine,didanosine,ambiguous,didanosine,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O
memantine hydrochloride,memantine hydrochloride,memantine hydrochloride,less,memantine hydrochloride,Cl.CC12CC3CC(C)(C1)CC(N)(C3)C2
pioglitazone,pioglitazone,pioglitazone hydrochloride,most,pioglitazone hydrochloride,Cl.CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1
zenzedi,dextroamphetamine sulfate,dextroamphetamine sulfate,most,dextroamphetamine sulfate,OS(O)(=O)=O.C[C@H](N)CC1=CC=CC=C1.C[C@H](N)CC1=CC=CC=C1
voriconazole,voriconazole,voriconazole,most,voriconazole,C[C@@H](C1=C(F)C=NC=N1)C(O)(CN1C=NC=N1)C1=CC=C(F)C=C1F
rimantadine hydrochloride,rimantadine hydrochloride,rimantadine hydrochloride,less,rimantadine hydrochloride,Cl.CC(N)C12CC3CC(CC(C3)C1)C2
efavirenz,efavirenz,efavirenz,most,efavirenz,FC(F)(F)[C@]1(OC(=O)NC2=CC=C(Cl)C=C12)C#CC1CC1
celecoxib,celecoxib,celecoxib,most,celecoxib,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
cefadroxil,cefadroxil hemihydrate,cefadroxil hemihydrate,no,cefadroxil hemihydrate,O.[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O.[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O
sumatriptan succinate,sumatriptan succinate,sumatriptan succinate,most,sumatriptan succinate,OC(=O)CCC(O)=O.CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1
haloperidol,haloperidol,haloperidol,most,haloperidol,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
clozapine,clozapine,clozapine,most,clozapine,CN1CCN(CC1)C1=C2C=CC=CC2=NC2=C(N1)C=C(Cl)C=C2
erlotinib,erlotinib,erlotinib,ambiguous,erlotinib,COCCOC1=CC2=NC=NC(NC3=CC=CC(=C3)C#C)=C2C=C1OCCOC
abacavir,abacavir,abacavir sulfate,most,abacavir sulfate,[O-]S([O-])(=O)=O.[NH3+]C1=NC(NC2CC2)=C2N=CN([C@@H]3C[C@H](CO)C=C3)C2=N1.[NH3+]C1=NC(NC2CC2)=C2N=CN([C@@H]3C[C@H](CO)C=C3)C2=N1
quinidine sulfate,quinidine sulfate tablet,quinidine sulfate,most,quinidine sulfate,O.O.OS(O)(=O)=O.[H][C@@]12CCN(C[C@]1([H])C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1.[H][C@@]12CCN(C[C@]1([H])C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1
irbesartan,irbesartan,irbesartan,ambiguous,irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1
prednisolone sodium phosphate,prednisolone sodium phosphate,prednisolone sodium phosphate,less,prednisolone sodium phosphate,[Na+].[Na+].C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COP([O-])([O-])=O
fosamprenavir calcium,fosamprenavir calcium,fosamprenavir calcium,less,fosamprenavir calcium,[Ca++].CC(C)CN(C[C@@H](OP([O-])([O-])=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
isosorbide dinitrate,isosorbide dinitrate,isosorbide dinitrate,less,isosorbide dinitrate,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O
nifedipine,nifedipine,nifedipine,less,nifedipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
fluoxetine,fluoxetine hydrochloride,fluoxetine hydrochloride,most,fluoxetine hydrochloride,Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
prochlorperazine maleate,prochlorperazine maleate,prochlorperazine maleate,less,prochlorperazine maleate,OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.CN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1
ampicillin,ampicillin,ampicillin trihydrate,no,ampicillin trihydrate,O.O.O.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O
ambrisentan,ambrisentan,ambrisentan,less,ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
mycophenolic acid,mycophenilic acid,mycophenolic acid,less,mycophenolic acid,COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(O)=O
colchicine,colchicine,colchiceine,no,colchiceine,COC1=C(OC)C(OC)=C2C(CC[C@H](N=C(C)O)C3=CC(=O)C(O)=CC=C23)=C1
sotalol hydrochloride,sotalol hydrochloride,sotalol hydrochloride,most,sotalol hydrochloride,Cl.CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1
trientine hydrochloride,trientine hydrochloride,trientine hydrochloride,no,trientine hydrochloride,Cl.Cl.NCCNCCNCCN
baclofen,baclofen,baclofen,less,baclofen,NCC(CC(O)=O)C1=CC=C(Cl)C=C1
bethanechol chloride,bethanechol chloride,bethanechol chloride,less,bethanechol chloride,[Cl-].CC(C[N+](C)(C)C)OC(N)=O
clarithromycin,clarithromycin,clarithromycin,most,clarithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
chlorzoxazone,chlorzoxazone,chlorzoxazone,no,chlorzoxazone,ClC1=CC=C2OC(=O)NC2=C1
primaquine phosphate,primaquine phosphate,primaquine phosphate,less,primaquine phosphate,OP(O)(O)=O.OP(O)(O)=O.COC1=CC2=CC=CN=C2C(NC(C)CCCN)=C1
venlafaxine hydrochloride,venlafaxine hydrochloride,venlafaxine,less,venlafaxine,COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1
vigabatrin,vigabatrin,vigabatrin,no,vigabatrin,NC(CCC(O)=O)C=C
penicillamine,penicillamine,penicillamine,no,penicillamine,CC(C)(S)[C@@H](N)C(O)=O
metaproterenol sulfate,metaproterenol sulfate,metaproterenol sulfate,less,metaproterenol sulfate,OS(O)(=O)=O.CC(C)NCC(O)C1=CC(O)=CC(O)=C1.CC(C)NCC(O)C1=CC(O)=CC(O)=C1
valganciclovir hydrochloride,valganciclovir,valganciclovir,less,valganciclovir,CC(C)[C@H](N)C(=O)OCC(CO)OCN1C=NC2=C1NC(N)=NC2=O
liothyronine sodium,liothyronine sodium,liothyronine sodium,less,liothyronine sodium,[Na+].N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C([O-])=O
prasugrel,prasugrel,prasugrel hydrochloride,less,prasugrel hydrochloride,Cl.CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1
emtricitabine,emtricitabine,emtricitabine,no,emtricitabine,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1
valacyclovir hydrochloride,valacyclovir,valacyclovir hydrochloride,no,valacyclovir hydrochloride,Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O
desloratadine,desloratadine,desloratadine,no,desloratadine,ClC1=CC=C2C(CCC3=C(N=CC=C3)C2=C2CCNCC2)=C1
perphenazine,perphenazine,perphenazine,less,perphenazine,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1
dimethyl fumarate,dimethyl fumarate,dimethyl fumarate,no,dimethyl fumarate,COC(=O)\C=C\C(=O)OC
