INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,SMILES
TAPENTADOL HYDROCHLORIDE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
LUMATEPERONE,Approved Name,DTXSID401026211,Lumateperone,[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C(=C)C1=C(C)N(C)CCN21
SELUMETINIB,Approved Name,DTXSID3048944,Selumetinib,CN1C=NC2=C1C=C(C(=O)NOCCO)C(NC1=CC=C(Br)C=C1Cl)=C2F
tazemetostat hydrobromide,Approved Name,DTXSID101027715,Tazemetostat hydrobromide,Br.CCN(C1CCOCC1)C1=C(C)C(=CC(=C1)C1=CC=C(CN2CCOCC2)C=C1)C(=O)NCC1=C(C)C=C(C)NC1=O
LUSUTROMBOPAG,Approved Name,DTXSID701027951,Lusutrombopag,CCCCCCO[C@@H](C)C1=C(OC)C(=CC=C1)C1=CSC(NC(=O)C2=CC(Cl)=C(\C=C(/C)C(O)=O)C(Cl)=C2)=N1
ICOSAPENT ETHYL,Approved Name,DTXSID601018686,Icosapent ethyl,CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC
COBIMETINIB FUMARATE,Approved Name,DTXSID301027854,Cobimetinib fumarate,[H]\C(=C(\[H])C(O)=O)C(O)=O.[H][C@]1(CCCCN1)C1(O)CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1.[H][C@]1(CCCCN1)C1(O)CN(C1)C(=O)C1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1
NALOXEGOL OXALATE,Approved Name,DTXSID50159395,Naloxegol oxalate,OC(=O)C(O)=O.COCCOCCOCCOCCOCCOCCOCCO[C@H]1CC[C@@]2(O)[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3CC=C)=C(O)C=C4
Ceftibuten dihydrate,Searched by Synonym: Found 0 results,N/A,N/A,N/A
DUVELISIB,Approved Name,DTXSID80152697,Duvelisib,C[C@H](NC1=NC=NC2=C1NC=N2)C1=CC2=C(C(Cl)=CC=C2)C(=O)N1C1=CC=CC=C1
abemaciclib,Searched by Synonym: Found 0 results,N/A,N/A,N/A
Lithium Citrate,Synonym,DTXSID70883185,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, lithium salt (1:3)",[Li+].[Li+].[Li+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
VALBENAZINE TOSYLATE,Expert Validated Synonym,DTXSID201026308,Valbenazine tosylate (1:2),CC1=CC=C(C=C1)S(O)(=O)=O.CC1=CC=C(C=C1)S(O)(=O)=O.[H][C@]12C[C@@H](OC(=O)[C@@H](N)C(C)C)[C@H](CC(C)C)CN1CCC1=C2C=C(OC)C(OC)=C1
GILTERITINIB FUMARATE,Approved Name,DTXSID001027950,Gilteritinib fumarate,OC(=O)\C=C\C(O)=O.CCC1=C(NC2CCOCC2)N=C(NC2=CC(OC)=C(C=C2)N2CCC(CC2)N2CCN(C)CC2)C(=N1)C(N)=O.CCC1=C(NC2CCOCC2)N=C(NC2=CC(OC)=C(C=C2)N2CCC(CC2)N2CCN(C)CC2)C(=N1)C(N)=O
Ponesimod,Approved Name,DTXSID50234631,Ponesimod,CCC\N=C1/S\C(=C/C2=CC(Cl)=C(OC[C@H](O)CO)C=C2)C(=O)N1C1=CC=CC=C1C
ELAGOLIX SODIUM,Approved Name,DTXSID601003247,Elagolix sodium,[Na+].COC1=CC=CC(=C1F)C1=C(C)N(CC2=C(C=CC=C2F)C(F)(F)F)C(=O)N(C[C@H](NCCCC([O-])=O)C2=CC=CC=C2)C1=O
VORINOSTAT,Approved Name,DTXSID6041133,Vorinostat,ONC(=O)CCCCCCC(=O)NC1=CC=CC=C1
ROLAPITANT HYDROCHLORIDE,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID40235091,Sch 619734,Cl.C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
ROLAPITANT HYDROCHLORIDE,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID70238570,Rolapitant hydrochloride,O.Cl.C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
MILTEFOSINE,Approved Name,DTXSID7045942,Miltefosine,CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C
CRIZOTINIB,Approved Name,DTXSID701009329,Crizotinib,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl
avapritinib,Approved Name,DTXSID301027935,Avapritinib,CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1
DACOMITINIB,Approved Name,DTXSID50149493,Dacomitinib,COC1=C(NC(=O)\C=C\CN2CCCCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
TENAPANOR HYDROCHLORIDE,Approved Name,DTXSID701027856,Tenapanor hydrochloride,Cl.Cl.[H][C@]1(CN(C)CC2=C1C=C(Cl)C=C2Cl)C1=CC(=CC=C1)S(=O)(=O)NCCOCCOCCNC(=O)NCCCCNC(=O)NCCOCCOCCNS(=O)(=O)C1=CC=CC(=C1)[C@]1([H])CN(C)CC2=C1C=C(Cl)C=C2Cl
BALOXAVIR MARBOXIL,Approved Name,DTXSID601027758,Baloxavir marboxil,[H][C@@]12COCCN1C(=O)C1=C(OCOC(=O)OC)C(=O)C=CN1N2[C@H]1C2=CC=C(F)C(F)=C2CSC2=CC=CC=C12
THALIDOMIDE,Approved Name,DTXSID9022524,Thalidomide,O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12
PRUCALOPRIDE SUCCINATE,Approved Name,DTXSID701027749,Prucalopride succinate,OC(=O)CCC(O)=O.COCCCN1CCC(CC1)NC(=O)C1=CC(Cl)=C(N)C2=C1OCC2
ELTROMBOPAG OLAMINE,Approved Name,DTXSID80892349,Eltrombopag olamine,NCCO.NCCO.NCCO.NCCO.CC1=NN(C(=O)\C1=N/NC1=C(O)C(=CC=C1)C1=CC=CC(=C1)C(O)=O)C1=CC=C(C)C(C)=C1
Apalutamide,Searched by Synonym: Found 0 results,N/A,N/A,N/A
ACETOHYDROXAMIC ACID,Approved Name,DTXSID7022546,Acetohydroxamic acid,CC(=O)NO
upadacitinib,Approved Name,DTXSID901027919,Upadacitinib,[H][C@@]1(CN(C[C@H]1CC)C(=O)NCC(F)(F)F)C1=CN=C2C=NC3=C(C=CN3)N12
NISOLDIPINE,Approved Name,DTXSID0023371,Nisoldipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C
Cladribine,Approved Name,DTXSID8022828,Cladribine,NC1=NC(Cl)=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
TRICLABENDAZOLE,Approved Name,DTXSID7043952,Triclabendazole,CSC1=NC2=C(N1)C=C(OC1=CC=CC(Cl)=C1Cl)C(Cl)=C2
ETHOTOIN,Approved Name,DTXSID6023020,Ethotoin,CCN1C(=O)NC(C1=O)C1=CC=CC=C1
ixazomib citrate,Approved Name,DTXSID60924652,Ixazomib citrate,CC(C)C[C@H](NC(=O)CNC(=O)C1=C(Cl)C=CC(Cl)=C1)B1OC(=O)C(CC(O)=O)(CC(O)=O)O1
ELUXADOLINE,Approved Name,DTXSID70235589,Eluxadoline,COC1=C(C=C(CN([C@@H](C)C2=NC=C(N2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1)C(O)=O
monomethyl fumarate,Approved Name,DTXSID801016498,Monomethyl fumarate,COC(=O)\C=C\C(O)=O
tegaserod,Approved Name,DTXSID6045955,Tegaserod,CCCCCNC(=N)NN=CC1=CNC2=C1C=C(OC)C=C2
RALTEGRAVIR POTASSIUM,Searched by Synonym: Found 0 results,N/A,N/A,N/A
NINTEDANIB ESYLATE,Approved Name,DTXSID40215873,Nintedanib esylate,CCS(O)(=O)=O.COC(=O)C1=CC2=C(C=C1)\C(=C(\NC1=CC=C(C=C1)N(C)C(=O)CN1CCN(C)CC1)C1=CC=CC=C1)C(=O)N2
OMEPRAZOLE MAGNESIUM,Approved Name,DTXSID701019825,Omeprazole magnesium,COC1=CC=C2C([N-]C3=[N]2[Mg++]2([O]=S3CC3=C(C)C(OC)=C(C)C=N3)[O]=S(CC3=C(C)C(OC)=C(C)C=N3)C3=[N]2C2=CC=C(OC)C=C2[N-]3)=C1
AFATINIB,Approved Name,DTXSID20893451,Afatinib,CN(C)C\C=C\C(=O)NC1=C(O[C@H]2CCOC2)C=C2N=CN=C(NC3=CC(Cl)=C(F)C=C3)C2=C1
rucaparib camsylate,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID301027866,"((1S,4R)-7,7-Dimethyl-2-oxobicyclo[2.2.1]heptan-1-yl)methanesulfonic acid - 8-fluoro-2-(4-((methylamino)methyl)phenyl)-1,3,4,5-tetrahydro-6H-azepino[5,4,3-cd]indol-6-one (1:1)",CC1(C)[C@@H]2CC[C@@]1(CS(O)(=O)=O)C(=O)C2.CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=C2C(N1)=CC(F)=C3
rucaparib camsylate,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID901027864,Rucaparib camsylate,N/A
Voxelotor,Approved Name,DTXSID801027954,Voxelotor,CC(C)N1N=CC=C1C1=C(COC2=CC=CC(O)=C2C=O)C=CC=N1
APIXABAN,Approved Name,DTXSID80436500,Apixaban,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O
LINAGLIPTIN,Approved Name,DTXSID201021653,Linagliptin,[H]N([H])[C@@]1([H])C([H])([H])N(C2=NC3=C(N2C([H])([H])C#CC([H])([H])[H])C(=O)N(C(=O)N3C([H])([H])[H])C([H])([H])C2=NC3=C([H])C([H])=C([H])C([H])=C3C(=N2)C([H])([H])[H])C([H])([H])C([H])([H])C1([H])[H]
OZANIMOD HYDROCHLORIDE,Approved Name,DTXSID201026489,Ozanimod hydrochloride,Cl.CC(C)OC1=C(C=C(C=C1)C1=NC(=NO1)C1=CC=CC2=C1CC[C@@H]2NCCO)C#N
BETAINE,Approved Name,DTXSID8022666,Betaine,C[N+](C)(C)CC([O-])=O
AURANOFIN,Approved Name,DTXSID4020115,Auranofin,[Au+].CCP(CC)CC.CC(=O)OC[C@H]1O[C@@H]([S-])[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
OSIMERTINIB,Approved Name,DTXSID501025961,Osimertinib,COC1=C(NC2=NC=CC(=N2)C2=CN(C)C3=CC=CC=C23)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C
Mobocertinib,Approved Name,DTXSID201336749,Mobocertinib,COC1=C(NC2=NC=C(C(=O)OC(C)C)C(=N2)C2=CN(C)C3=C2C=CC=C3)C=C(NC(=O)C=C)C(=C1)N(C)CCN(C)C
propoxyphene napsylate,Approved Name,DTXSID80937986,Propoxyphene napsylate,OS(=O)(=O)C1=CC2=CC=CC=C2C=C1.CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1
Flibanserin,Approved Name,DTXSID30168445,Flibanserin,FC(F)(F)C1=CC=C(C=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1
LEVOMILNACIPRAN HYDROCHLORIDE; levomilnacipran hydrochloride,Searched by Synonym: Found 0 results,N/A,N/A,N/A
SARECYCLINE HYDROCHLORIDE,Approved Name,DTXSID701027925,Sarecycline hydrochloride,Cl.[H][C@@]12CC3=C(CN(C)OC)C=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2
ISOCARBOXAZID,Approved Name,DTXSID4023171,Isocarboxazid,CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1
darunavir ethanolate,Searched by Synonym: Found 0 results,N/A,N/A,N/A
EDOXABAN TOSYLATE,Approved Name,DTXSID10197399,Edoxaban tosylate,CC1=CC=C(C=C1)S(O)(=O)=O.CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=NC=C(Cl)C=C2)[C@@H](C1)NC(=O)C1=NC2=C(CN(C)CC2)S1
selinexor,Approved Name,DTXSID801026013,Selinexor,FC(F)(F)C1=CC(=CC(=C1)C1=NN(\C=C/C(=O)NNC2=NC=CN=C2)C=N1)C(F)(F)F
FEXINIDAZOLE,Approved Name,DTXSID00208448,Fexinidazole,CSC1=CC=C(OCC2=NC=C(N2C)[N+]([O-])=O)C=C1
Pretomanid,Searched by Synonym: Found 0 results,N/A,N/A,N/A
FOSTEMSAVIR TROMETHAMINE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
uridine triacetate,Expert Validated Synonym,DTXSID40961409,"2′,3′,5′-Tri-O-acetyluridine",CC(=O)OC[C@H]1O[C@H]([C@H](OC(C)=O)[C@@H]1OC(C)=O)N1C=CC(=O)NC1=O
odevixibat,Approved Name,DTXSID601336860,Odevixibat,CCCCC1(CCCC)CN(C2=CC=CC=C2)C2=CC(SC)=C(OCC(=O)N[C@@H](C(=O)N[C@@H](CC)C(O)=O)C3=CC=C(O)C=C3)C=C2S(=O)(=O)N1
VOCLOSPORIN,Approved Name,DTXSID401030488,Voclosporin,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C=C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
TRIHEPTANOIN,Expert Validated Synonym,DTXSID40862306,"1,2,3-Propanetriyl triheptanoate",CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC
NABILONE,Approved Name,DTXSID8023341,Nabilone,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC
brexpiprazole,Approved Name,DTXSID40238527,Brexpiprazole,O=C1NC2=C(C=C1)C=CC(OCCCCN1CCN(CC1)C1=C3C=CSC3=CC=C1)=C2
istradefylline,Approved Name,DTXSID7057652,Istradefylline,CCN1C2=C(N(C)C(\C=C\C3=CC=C(OC)C(OC)=C3)=N2)C(=O)N(CC)C1=O
FENFLURAMINE,Approved Name,DTXSID4023044,Fenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F
LEVOKETOCONAZOLE,Expert Validated Synonym,DTXSID60161949,(-)-Ketoconazole,CC(=O)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=CN=C3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
SOTORASIB,Synonym,DTXSID001099260,"6-Fluoro-7-(2-fluoro-6-hydroxyphenyl)-1-[4-methyl-2-(2-propanyl)-3-pyridinyl]-4-[(2S)-2-methyl-4-(2-propenoyl)-1-piperazinyl]pyrido[2,3-d]pyrimidin-2(1H)-one",CC(C)C1=C(N2C(=O)N=C(N3CCN(C[C@@H]3C)C(=O)C=C)C3=CC(F)=C(N=C23)C2=C(F)C=CC=C2O)C(C)=CC=N1
PHENELZINE SULFATE,Expert Validated Synonym,DTXSID3021144,Phenylethylhydrazine sulfate,OS(O)(=O)=O.NNCCC1=CC=CC=C1
TAFENOQUINE,Approved Name,DTXSID90869466,Tafenoquine,COC1=CC(C)=C2C(OC3=CC(=CC=C3)C(F)(F)F)=C(OC)C=C(NC(C)CCCN)C2=N1
VISMODEGIB,Approved Name,DTXSID40236689,Vismodegib,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC(=C(Cl)C=C1)C1=CC=CC=N1
BARIUM SULFATE,Approved Name,DTXSID0050471,Barium sulfate,[Ba++].[O-]S([O-])(=O)=O
Tucatinib,Approved Name,DTXSID601027958,Tucatinib,CC1=CC(NC2=C3C=C(NC4=NC(C)(C)CO4)C=CC3=NC=N2)=CC=C1OC1=CC2=NC=NN2C=C1
rilpivirine hydrochloride,Approved Name,DTXSID80220320,Rilpivirine hydrochloride,Cl.CC1=CC(\C=C\C#N)=CC(C)=C1NC1=NC(NC2=CC=C(C=C2)C#N)=NC=C1
METHYLPHENIDATE,Approved Name,DTXSID5023299,Methylphenidate,COC(=O)C(C1CCCCN1)C1=CC=CC=C1
VEMURAFENIB,Approved Name,DTXSID50238710,Vemurafenib,CCCS(=O)(=O)NC1=C(F)C(C(=O)C2=CNC3=C2C=C(C=N3)C2=CC=C(Cl)C=C2)=C(F)C=C1
ivacaftor,Approved Name,DTXSID00236281,Ivacaftor,CC(C)(C)C1=CC(=C(O)C=C1NC(=O)C1=CNC2=CC=CC=C2C1=O)C(C)(C)C
IBRUTINIB,Approved Name,DTXSID60893450,Ibrutinib,NC1=NC=NC2=C1C(=NN2[C@@H]1CCCN(C1)C(=O)C=C)C1=CC=C(OC2=CC=CC=C2)C=C1
PRALSETINIB,Approved Name,DTXSID901336540,Pralsetinib,CO[C@]1(CC[C@@H](CC1)C1=NC(NC2=NNC(C)=C2)=CC(C)=N1)C(=O)N[C@@H](C)C1=CC=C(N=C1)N1C=C(F)C=N1
DOLUTEGRAVIR SODIUM,Approved Name,DTXSID201027849,Dolutegravir sodium,[Na+].[H][C@]12CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2
patiromer,Expert Validated Synonym,DTXSID101027696,Veltassa,N/A
Bempedoic Acid,Approved Name,DTXSID401027952,Bempedoic acid,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O
TERIFLUNOMIDE,Approved Name,DTXSID80893457,Teriflunomide,C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F
CANNABIDIOL,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID00871959,Cannabidiol,CCCCCC1=CC(O)=C([C@@H]2C=C(C)CC[C@H]2C(C)=C)C(O)=C1
CANNABIDIOL,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID10653182,(+)-Cannabidiol,CCCCCC1=CC(O)=C([C@H]2C=C(C)CC[C@@H]2C(C)=C)C(O)=C1
CHLORAMBUCIL,Approved Name,DTXSID7020263,Chlorambucil,OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl
BINIMETINIB,Searched by Synonym: Found 0 results,N/A,N/A,N/A
DICLOFENAC,Approved Name,DTXSID6022923,Diclofenac,OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1
RIMEGEPANT SULFATE,Approved Name,DTXSID60160174,Rimegepant sulfate,O.O.O.OS(O)(=O)=O.N[C@H]1[C@@H](CC[C@@H](OC(=O)N2CCC(CC2)N2C(=O)NC3=C2C=CC=N3)C2=C1C=CC=N2)C1=C(F)C(F)=CC=C1.N[C@H]1[C@@H](CC[C@@H](OC(=O)N2CCC(CC2)N2C(=O)NC3=C2C=CC=N3)C2=C1C=CC=N2)C1=C(F)C(F)=CC=C1
LEVAMLODIPINE MALEATE,Approved Name,DTXSID801027742,Levamlodipine maleate,[H]\C(=C(\[H])C(O)=O)C(O)=O.CCOC(=O)C1=C(COCCN)NC(C)=C([C@@H]1C1=C(Cl)C=CC=C1)C(=O)OC
CODEINE SULFATE,Approved Name,DTXSID80161921,Codeine sulfate,OS(O)(=O)=O.[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O.[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O
FENOPROFEN CALCIUM,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID6045587,Fenoprofen calcium salt dihydrate,O.O.[Ca++].CC(C([O-])=O)C1=CC(OC2=CC=CC=C2)=CC=C1.CC(C([O-])=O)C1=CC(OC2=CC=CC=C2)=CC=C1
FENOPROFEN CALCIUM,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID80904653,Fenoprofen calcium,[Ca++].CC(C([O-])=O)C1=CC(OC2=CC=CC=C2)=CC=C1.CC(C([O-])=O)C1=CC(OC2=CC=CC=C2)=CC=C1
canagliflozin,Approved Name,DTXSID601004469,Canagliflozin,CC1=C(CC2=CC=C(S2)C2=CC=C(F)C=C2)C=C(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
Glutamine,Expert Validated Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID1044304,DL-Glutamine,NC(CCC(N)=O)C(O)=O
Glutamine,Expert Validated Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID1023100,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O
LORCASERIN HYDROCHLORIDE ANHYDROUS,Searched by Synonym: Found 0 results,N/A,N/A,N/A
roflumilast,Approved Name,DTXSID8044123,Roflumilast,FC(F)OC1=CC=C(C=C1OCC1CC1)C(=O)NC1=C(Cl)C=NC=C1Cl
LEMBOREXANT,Approved Name,DTXSID401027940,Lemborexant,CC1=NC=C(OC[C@]2(C[C@H]2C(=O)NC2=NC=C(F)C=C2)C2=CC=CC(F)=C2)C(C)=N1
METHSUXIMIDE,Approved Name,DTXSID5023293,Methsuximide,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1
LEVOCARNITINE,Approved Name,DTXSID4023208,Levocarnitine,C[N+](C)(C)C[C@H](O)CC([O-])=O
ALPELISIB,Searched by Synonym: Found 0 results,N/A,N/A,N/A
suvorexant,Approved Name,DTXSID90145616,Suvorexant,C[C@@H]1CCN(CCN1C(=O)C1=C(C=CC(C)=C1)N1N=CC=N1)C1=NC2=C(O1)C=CC(Cl)=C2
Obeticholic Acid,Approved Name,DTXSID20196671,Obeticholic acid,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O
TALAZOPARIB TOSYLATE,Approved Name,DTXSID301026468,Talazoparib tosylate,CC1=CC=C(C=C1)S(O)(=O)=O.CN1N=CN=C1[C@@H]1[C@H](NC2=C3C1=NNC(=O)C3=CC(F)=C2)C1=CC=C(F)C=C1
CARBINOXAMINE MALEATE,Approved Name,DTXSID0047828,Carbinoxamine maleate,OC(=O)\C=C/C(O)=O.CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1
Erythromycin Ethylsuccinate,Approved Name,DTXSID4022993,Erythromycin ethylsuccinate,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
FLUPHENAZINE HYDROCHLORIDE,Expert Validated Synonym,DTXSID00892922,Fluphenazine dihydrochloride,Cl.Cl.OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1
BUPROPION HYDROCHLORIDE,Approved Name,DTXSID6044561,Bupropion hydrochloride,N/A
DESVENLAFAXINE SUCCINATE,Synonym - WARNING: Synonym mapped to two or more chemicals,DTXSID701044359,O-Desmethylvenlafaxine succinate,OC(=O)CCC(O)=O.CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1
DESVENLAFAXINE SUCCINATE,Approved Name - WARNING: Synonym mapped to two or more chemicals,DTXSID70959511,Desvenlafaxine Succinate,O.OC(=O)CCC(O)=O.CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1
TETRABENAZINE,Approved Name,DTXSID0042614,Tetrabenazine,[H][C@@]12CC(=O)[C@@H](CC(C)C)CN1CCC1=C2C=C(OC)C(OC)=C1
NALTREXONE HYDROCHLORIDE,Approved Name,DTXSID50937236,Naltrexone hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O
CEFUROXIME AXETIL,Approved Name,DTXSID0022775,Cefuroxime axetil,CON=C(C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(=O)OC(C)OC(C)=O)C1=CC=CO1
PYRIMETHAMINE,Approved Name,DTXSID9021217,Pyrimethamine,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1
ALPRAZOLAM,Approved Name,DTXSID4022577,Alprazolam,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12
ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE,Approved Name,DTXSID10146226,Atorvastatin calcium propylene glycol solvate,[Ca++].CC(O)CO.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1.CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1)C1=CC=CC=C1
ISRADIPINE,Approved Name,DTXSID4023179,Isradipine,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C
ATOVAQUONE,Approved Name,DTXSID7022629,Atovaquone,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O
CALCIUM ACETATE,Approved Name,DTXSID0020234,Calcium acetate,[Ca++].CC([O-])=O.CC([O-])=O
INDOMETHACIN,Expert Validated Synonym,DTXSID9020740,1-(p-Chlorobenzoyl)-5-methoxy-2-methyl-Indole-3-acetic acid,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O
SUCRALFATE,Synonym from Valid Source,DTXSID1048966,Sucrose octasulfate-aluminum complex,O[Al](O)[Al](O)O.O[Al](O)[Al](O)O.O[Al](O)[Al](O)O.O[Al](O)[Al](O)O.O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O
BOSENTAN ANHYDROUS,Searched by Synonym: Found 0 results,N/A,N/A,N/A
DESMOPRESSIN ACETATE,Approved Name,DTXSID4046864,Desmopressin acetate,CC(O)=O.NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O
GLIPIZIDE,Approved Name,DTXSID0040676,Glipizide,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
COLESTIPOL HYDROCHLORIDE,Searched by Synonym: Found 0 results,N/A,N/A,N/A
