Trade Name,Generic/Proper Name(s),Active Ingredient(s),SMILES,DICT _ Concern
cholestyramine,cholestyramine,cholestyramine,CCC(C)C.CCC(CC(C)C1=CC=CC=C1)C2=CC=C(C=C2)C[N+](C)(C)C.N.[Cl-],no
colistimethate,colistimethate sodium,colistimethate,CCC(C)CCCCC(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC(C(C)O)C(=O)NC(CCNCS(=O)(=O)[O-])C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCNCS(=O)(=O)[O-])CC(C)C)CC(C)C)CCNCS(=O)(=O)[O-])CCNCS(=O)(=O)[O-])C(C)O.[Na+].[Na+].[Na+].[Na+].[Na+],no
itraconazole,itraconazole,itraconazole,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,less
rapivab,peramivir,peramivir,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@H](C[C@H]1N=C(N)N)C(O)=O,no
aptivus,tipranavir,tipranavir,CCC[C@@]1(CCC2=CC=CC=C2)CC(O)=C([C@H](CC)C2=CC=CC(NS(=O)(=O)C3=CC=C(C=N3)C(F)(F)F)=C2)C(=O)O1,no
clindamycin in 5 percent dextrose,clindamycin in 5 percent dextrose,clindamycin,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,ambiguous
clindamycin,clindamycin phosphate,clindamycin phosphate,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](OP(O)(O)=O)[C@@H](O)[C@H]1O,less
briviact,brivaracetam,brivaracetam,CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1,no
ponvory,ponesimod,ponesimod,CCC\N=C1/S\C(=C/C2=CC(Cl)=C(OC[C@H](O)CO)C=C2)C(=O)N1C1=CC=CC=C1C,less
primidone,primidone,primidone,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,no
ethosuximide,ethosuximide,ethosuximide,CCC1(C)CC(=O)NC1=O,no
glimepiride,glimepiride,glimepiride,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,ambiguous
photofrin,porfimer sodium,porfimer sodium,CCC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C(=C(C(=N5)C=C1N2)C)C(C)O)C)CCC(=O)O)C(=C3C)CCC(=O)O)C.[Na+],less
mayzent,siponimod,siponimod,CCC1=C(CN2CC(C2)C(O)=O)C=CC(=C1)C(\C)=N\OCC1=CC(=C(C=C1)C1CCCCC1)C(F)(F)F,less
etodolac,etodolac,etodolac,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O,most
pioglitazone,pioglitazone,pioglitazone,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,most
pyrimethamine,pyrimethamine,pyrimethamine,CCC1=NC(N)=NC(N)=C1C1=CC=C(Cl)C=C1,less
trecator,ethionamide,ethionamide,CCC1=NC=CC(=C1)C(N)=S,no
cleviprex,clevipidine,clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC,less
carisoprodol,carisoprodol,carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,less
meprobamate,meprobamate,meprobamate,CCCC(C)(COC(N)=O)COC(N)=O,less
valproic acid,valproic acid,valproic acid,CCCC(CCC)C(O)=O,less
propylthiouracil,propylthiouracil,propylthiouracil,CCCC1=CC(=O)NC(=S)N1,no
olmesartan medoxomil,olmesartan medoxomil,olmesartan medoxomil,CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)C(=O)OCC1=C(C)OC(=O)O1)C(C)(C)O,ambiguous
vardenafil hydrochloride,vardenafil hydrochloride,vardenafil hydrochloride,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C.Cl,most
vardenafil hydrochloride,vardenafil hydrochloride,vardenafil,CCCC1=NC(C)=C2N1NC(=NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1,most
telmisartan,telmisartan,telmisartan,CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O,less
sildenafil,sildenafil,sildenafil,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,less
valsartan,valsartan,valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)[C@@H](C(C)C)C(O)=O,less
misoprostol,misoprostol,misoprostol,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,less
lubiprostone,lubiprostone,lubiprostone,CCCCC(F)(F)C(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,less
veletri,epoprostenol,epoprostenol,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2O\C(C[C@H]12)=C/CCCC(O)=O,less
prostin vr pediatric,alprostadil,alprostadil,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,less
bylvay,odevixibat,odevixibat,CCCCC1(CCCC)CN(C2=CC=CC=C2)C2=CC(SC)=C(OCC(=O)N[C@@H](C(=O)N[C@@H](CC)C(O)=O)C3=CC=C(O)C=C3)C=C2S(=O)(=O)N1,no
irbesartan,irbesartan,irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1,ambiguous
makena,hydroxyprogesterone caproate,hydroxyprogesterone caproate,CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,less
epidiolex,cannabidiol,cannabidiol,CCCCCC1=CC(O)=C([C@@H]2C=C(C)CC[C@H]2C(C)=C)C(O)=C1,no
dojolvi,triheptanoin,triheptanoin,CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC,no
cerdelga,eliglustat,eliglustat,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC2=C(OCCO2)C=C1,most
ethamolin,ethanolamine oleate,ethanolamine oleate,CCCCCCCC\C=C/CCCCCCCC(=O)OCCN,ambiguous
dapzura rt,daptomycin,daptomycin,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=C(N)C=CC=C2)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,less
nandrolone decanoate,nandrolone decanoate,nandrolone decanoate,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C,ambiguous
haloperidol decanoate,haloperidol decanoate,haloperidol decanoate,CCCCCCCCCC(=O)OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,most
fluphenazine decanoate,fluphenazine decanoate,fluphenazine decanoate,CCCCCCCCCC(=O)OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,most
aveed,testosterone undecanoate,testosterone undecanoate,CCCCCCCCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,most
xenical,orlistat,orlistat,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,no
aristada,aripiprazole lauroxil,aripiprazole lauroxil,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(OCCCCN1CCN(CC1)C1=C(Cl)C(Cl)=CC=C1)C=C2,less
saxenda,liraglutide,liraglutide,CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCCC[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC1=CN=CN1)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(O)=O)C(O)=O,less
aquasol a,vitamin a palmitate,vitamin a palmitate,CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,ambiguous
invega hafyera,paliperidone palmitate,paliperidone palmitate,CCCCCCCCCCCCCCCC(=O)OC1CCCN2C(=O)C(CCN3CCC(CC3)C3=NOC4=CC(F)=CC=C34)=C(C)N=C12,most
erythrocin stearate,erythromycin stearate,erythromycin stearate,CCCCCCCCCCCCCCCCCC([O-])=O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,most
impavido,miltefosine,miltefosine,CCCCCCCCCCCCCCCCOP([O-])(=O)OCC[N+](C)(C)C,no
asclera,polidocanol,polidocanol,"CCCCCCCCCCCCOCCO |lp:12:2,15:2,Sg:n:14,13,12::ht|",most
mulpleta,lusutrombopag,lusutrombopag,CCCCCCO[C@@H](C)C1=C(OC)C(=CC=C1)C1=CSC(NC(=O)C2=CC(Cl)=C(\C=C(/C)C(O)=O)C(Cl)=C2)=N1,no
zelnorm,tegaserod,tegaserod,CCCCCNC(=N)NN=CC1=CNC2=C1C=C(OC)C=C2,ambiguous
,tegaserod,tegaserod,CCCCCNC(=N)NN=CC1=CNC2=C1C=C(OC)C=C2,most
capecitabine,capecitabine,capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,most
multaq,dronedarone,dronedarone,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=CC=C(NS(C)(=O)=O)C=C12,most
miglustat,miglustat,miglustat,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,no
bumetanide,bumetanide,bumetanide,CCCCNC1=CC(=CC(=C1OC1=CC=CC=C1)S(N)(=O)=O)C(O)=O,less
benzonatate,benzonatate,benzonatate,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,no
probenecid,probenecid,probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,no
permax,pergolide,pergolide,CCCN1C[C@H](CSC)C[C@H]2[C@H]1CC1=CNC3=CC=CC2=C13,most
propafenone,propafenone hydrochloride,propafenone,CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1,most
opsumit,macitentan,macitentan,CCCNS(=O)(=O)NC1=C(C(OCCOC2=NC=C(Br)C=N2)=NC=N1)C1=CC=C(Br)C=C1,less
zelboraf,vemurafenib,vemurafenib,CCCS(=O)(=O)NC1=C(F)C(C(=O)C2=CNC3=C2C=C(C=N3)C2=CC=C(Cl)C=C2)=C(F)C=C1,most
albendazole,albendazole,albendazole,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,no
brilinta,ticagrelor,ticagrelor,CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=N1,most
zaleplon,zaleplon,zaleplon,CCN(C(C)=O)C1=CC=CC(=C1)C1=CC=NC2=C(C=NN12)C#N,less
entacapone,entacapone,entacapone,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,ambiguous
disulfiram,disulfiram,disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,no
chloroquine phosphate,chloroquine phosphate,chloroquine phosphate,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,most
penicillin g procaine,penicillin g procaine,penicillin g procaine,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,no
tissueblue,brilliant blue g,brilliant blue g,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC(=C(C=C2)/C(=C/3\C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3C)/C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC)C.[Na+],no
,dexfenfluramine,dexfenfluramine,CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,most
qinlock,ripretinib,ripretinib,CCN1C(=O)C(=CC2=CN=C(NC)C=C12)C1=C(Br)C=C(F)C(NC(=O)NC2=CC=CC=C2)=C1,most
pemazyre,pemigatinib,pemigatinib,CCN1C(=O)N(CC2=C1C1=C(NC(CN3CCOCC3)=C1)N=C2)C1=C(F)C(OC)=CC(OC)=C1F,ambiguous
peganone,ethotoin,ethotoin,CCN1C(=O)NC(C1=O)C1=CC=CC=C1,no
nourianz,istradefylline,istradefylline,CCN1C2=C(N(C)C(\C=C\C3=CC=C(OC)C(OC)=C3)=N2)C(=O)N(CC)C1=O,no
barhemsys,amisulpride,amisulpride,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,most
truseltiq,infigratinib,infigratinib,CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl,no
verzenio,abemaciclib,abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,ambiguous
cabergoline,cabergoline,cabergoline,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(CC=C)C1,most
fintepla,fenfluramine,fenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,most
,fenfluramine,fenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,most
dehydrated alcohol,alcohol,alcohol,CCO,most
teflaro,ceftaroline fosamil,ceftaroline fosamil,CCO\N=C(/C(=O)N[C@H]1[C@H]2SCC(SC3=NC(=CS3)C3=CC=[N+](C)C=C3)=C(N2C1=O)C([O-])=O)C1=NSC(NP(O)(O)=O)=N1,less
xermelo,telotristat ethyl,telotristat ethyl,CCOC(=O)[C@@H](N)CC1=CC=C(C=C1)C1=CC(O[C@H](C2=CC=C(Cl)C=C2N2C=CC(C)=N2)C(F)(F)F)=NC(N)=N1,no
pepaxto,melphalan flufenamide,melphalan flufenamide hydrochloride,CCOC(=O)[C@H](CC1=CC=C(F)C=C1)NC(=O)[C@@H](N)CC1=CC=C(C=C1)N(CCCl)CCCl,no
ramipril,ramipril,ramipril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(O)=O,less
felodipine,felodipine,felodipine,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC,less
katerzia,amlodipine,amlodipine benzoate,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,most
flumazenil,flumazenil,flumazenil,CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1,most
amidate,etomidate,etomidate,CCOC(=O)C1=CN=CN1[C@H](C)C1=CC=CC=C1,less
e.e.s; e.e.s 400,erythromycin ethylsuccinate,erythromycin ethylsuccinate,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,most
vascepa,icosapent ethyl,icosapent ethyl,CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,less
loratadine,loratadine,loratadine,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,no
repaglinide,repaglinide,repaglinide,CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=C(C=CC=C2)N2CCCCC2)=C1)C(O)=O,less
otezla,apremilast,apremilast,CCOC1=C(OC)C=CC(=C1)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O,no
steglatro,ertugliflozin,ertugliflozin pidolate,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@@]34[C@@H]([C@H]([C@@H]([C@@](O3)(CO4)CO)O)O)O)Cl.C1CC(=O)N[C@@H]1C(=O)O,no
farxiga,dapagliflozin,dapagliflozin propanediol,CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,no
kerendia,finerenone,finerenone,CCOC1=NC=C(C)C2=C1[C@H](C1=C(OC)C=C(C=C1)C#N)C(C(N)=O)=C(C)N2,no
candesartan cilexetil,candesartan cilexetil,candesartan cilexetil,CCOC1=NC2=CC=CC(C(=O)OC(C)OC(=O)OC3CCCCC3)=C2N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,less
myoview,tetrofosmin,tetrofosmin,CCOCCP(CCOCC)CCP(CCOCC)CCOCC,less
tinidazole,tinidazole,tinidazole,CCS(=O)(=O)CCN1C(C)=NC=C1[N+]([O-])=O,less
olumiant,baricitinib,baricitinib,CCS(=O)(=O)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,most
ofev,nintedanib,nintedanib esylate,CCS(O)(=O)=O.COC(=O)C1=CC2=C(C=C1)\C(=C(\NC1=CC=C(C=C1)N(C)C(=O)CN1CCN(C)CC1)C1=CC=CC=C1)C(=O)N2,most
thiamine hydrochloride,thiamine hydrochloride,thiamine hydrochloride,Cl.[Cl-].CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,no
cefepime,cefepime,cefepime hydrochloride,Cl.[Cl-].CON=C(C(=O)N[C@H]1[C@H]2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1,no
ellence,epirubicin hydrochloride,epirubicin hydrochloride,Cl.[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1OC)C3=O)C(=O)CO)O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,most
doxorubicin hydrochloride,doxorubicin hydrochloride,doxorubicin hydrochloride,Cl.[H][C@@]1(C[C@H](N)[C@H](O)[C@H](C)O1)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)CO,most
mefloquine hydrochloride,mefloquine hydrochloride,mefloquine hydrochloride,Cl.[H][C@@]1(CCCCN1)[C@@H](O)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,most
lurasidone hydrochloride,lurasidone hydrochloride,lurasidone hydrochloride,Cl.[H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC3=CC=CC=C13)C2=O,less
seysara,sarecycline hydrochloride,sarecycline hydrochloride,Cl.[H][C@@]12CC3=C(CN(C)OC)C=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,ambiguous
hydromorphone hydrochloride,hydromorphone hydrochloride,hydromorphone hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])CCC2=O,less
naloxone hydrochloride,naloxone hydrochloride,naloxone hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@H](C4)[C@]1(O)CCC2=O,less
naltrexone hydrochloride,naltrexone hydrochloride,naltrexone hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,less
buprenorphine,buprenorphine,buprenorphine hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]11CC[C@@]2(OC)[C@]([H])(C1)C(C)(O)C(C)(C)C,less
nalbuphine hydrochloride,nalbuphine hydrochloride,nalbuphine hydrochloride,Cl.[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CCC3)[C@H](C4)[C@]1(O)CC[C@@H]2O,less
oxycodone hydrochloride,oxycodone hydrochloride,oxycodone hydrochloride,Cl.[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O,less
revex,nalmefene hydrochloride,nalmefene hydrochloride,Cl.[H][C@@]12OC3=C4C(C[C@H]5N(CC6CC6)CC[C@@]14[C@@]5(O)CCC2=C)=CC=C3O,less
demeclocycline hydrochloride,demeclocycline hydrochloride,demeclocycline hydrochloride,Cl.[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C(O)C=CC(Cl)=C1[C@H]2O,ambiguous
dalvance,dalbavancin,dalbavancin hydrochloride,Cl.[H][C@]12NC(=O)[C@]([H])(NC(=O)[C@]3([H])NC(=O)[C@@]4([H])NC(=O)[C@]([H])(NC(=O)[C@H](NC)C5=CC(OC6=CC4=C(Cl)C(O)=C6)=C(O)C=C5)C4=CC=C(OC5=CC3=CC(OC3=CC=C(C=C3Cl)[C@H]1O)=C5O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1NC(=O)CCCCCCCCC(C)C)C(O)=O)C=C4)C1=CC=C(O)C(=C1)C1=C(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)C=C(O)C=C1[C@]([H])(NC2=O)C(=O)NCCCN(C)C,no
benzphetamine hydrochloride,benzphetamine hydrochloride,benzphetamine hydrochloride,Cl.C[C@@H](CC1=CC=CC=C1)N(C)CC1=CC=CC=C1,less
totect,dexrazoxane hydrochloride,dexrazoxane hydrochloride,Cl.C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,ambiguous
cinacalcet,cinacalcet,cinacalcet hydrochloride,Cl.C[C@@H](NCCCC1=CC=CC(=C1)C(F)(F)F)C1=CC=CC2=CC=CC=C12,most
varubi,rolapitant,rolapitant hydrochloride,Cl.C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,no
cevimeline,cevimeline,cevimeline hydrochloride,Cl.C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1,less
idarubicin hydrochloride,idarubicin hydrochloride,idarubicin hydrochloride,Cl.C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1)C3=O)C(C)=O,most
precedex,dexmedetomidine hydrochloride,dexmedetomidine hydrochloride,Cl.C[C@H](C1=CN=CN1)C1=CC=CC(C)=C1C,most
selegiline hydrochloride,selegiline hydrochloride,selegiline hydrochloride,Cl.C[C@H](CC1=CC=CC=C1)N(C)CC#C,less
belviq xr extended release extended release,lorcaserin hydrochloride,lorcaserin hydrochloride anhydrous,Cl.C[C@H]1CNCCC2=C1C=C(Cl)C=C2,most
prasugrel,prasugrel,prasugrel hydrochloride,Cl.CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,less
fexofenadine hydrochloride,fexofenadine hydrochloride,fexofenadine hydrochloride,Cl.CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,no
phentermine hydrochloride,phentermine hydrochloride,phentermine hydrochloride,Cl.CC(C)(N)CC1=CC=CC=C1,ambiguous
valganciclovir,valganciclovir,valganciclovir hydrochloride,Cl.CC(C)[C@H](N)C(=O)OCC(CO)OCN1C=NC2=C1NC(N)=NC2=O,less
valacyclovir hydrochloride,valacyclovir,valacyclovir hydrochloride,Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O,no
sotalol hydrochloride,sotalol hydrochloride,sotalol hydrochloride,Cl.CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,most
propranolol hydrochloride,propranolol hydrochloride,propranolol hydrochloride,Cl.CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,most
zeposia; zeposia 7-day starter pack; zeposia starter kit,ozanimod hydrochloride,ozanimod hydrochloride,Cl.CC(C)OC1=C(C=C(C=C1)C1=NC(=NO1)C1=CC=CC2=C1CC[C@@H]2NCCO)C#N,less
dobutamine,dobutamine,dobutamine hydrochloride,Cl.CC(CCC1=CC=C(O)C=C1)NCCC1=CC(O)=C(O)C=C1,less
labetalol hydrochloride,labetalol hydrochloride,labetalol hydrochloride,Cl.CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,most
promethazine hydrochloride,promethazine hydrochloride,promethazine hydrochloride,Cl.CC(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N(C)C,less
dibenzyline,phenoxybenzamine hydrochloride,phenoxybenzamine hydrochloride,Cl.CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1,ambiguous
rimantadine hydrochloride,rimantadine hydrochloride,rimantadine hydrochloride,Cl.CC(N)C12CC3CC(CC(C3)C1)C2,less
mexiletine hydrochloride,mexiletine hydrochloride,mexiletine hydrochloride,Cl.CC(N)COC1=C(C)C=CC=C1C,most
